Source_Component,Source_Pin,Source_Pin_Name,Net_Name,Destination_Component,Destination_Pin,Destination_Pin_Name,Signal_Type,Voltage_Domain,Differential_Pair_Name,Direction,Source_Document,Human_Review_Status,Notes
J1,B14,PCIE_TX0_P,PCIE_TX0_P,J2,49,PCIE_RX0_P,PCIE_GEN3_DIFF,PCIE_HS,PCIE_TX0,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B15,PCIE_TX0_N,PCIE_TX0_N,J2,47,PCIE_RX0_N,PCIE_GEN3_DIFF,PCIE_HS,PCIE_TX0,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J2,43,PCIE_TX0_P,PCIE_RX0_P,J1,A16,PCIE_RX0_P,PCIE_GEN3_DIFF,PCIE_HS,PCIE_RX0,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J2,41,PCIE_TX0_N,PCIE_RX0_N,J1,A17,PCIE_RX0_N,PCIE_GEN3_DIFF,PCIE_HS,PCIE_RX0,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B19,PCIE_TX1_P,PCIE_TX1_P,J2,37,PCIE_RX1_P,PCIE_GEN3_DIFF,PCIE_HS,PCIE_TX1,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B20,PCIE_TX1_N,PCIE_TX1_N,J2,35,PCIE_RX1_N,PCIE_GEN3_DIFF,PCIE_HS,PCIE_TX1,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J2,31,PCIE_TX1_P,PCIE_RX1_P,J1,A21,PCIE_RX1_P,PCIE_GEN3_DIFF,PCIE_HS,PCIE_RX1,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J2,29,PCIE_TX1_N,PCIE_RX1_N,J1,A22,PCIE_RX1_N,PCIE_GEN3_DIFF,PCIE_HS,PCIE_RX1,DEVICE_TO_HOST,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B23,PCIE_TX2_P,PCIE_TX2_P,J2,25,PCIE_RX2_P,PCIE_GEN3_DIFF,PCIE_HS,PCIE_TX2,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
J1,B24,PCIE_TX2_N,PCIE_TX2_N,J2,23,PCIE_RX2_N,PCIE_GEN3_DIFF,PCIE_HS,PCIE_TX2,HOST_TO_DEVICE,PCI-SIG_CEM_3.0;M2_CONTROLLED_SPEC;NVIDIA_PUBLIC_REFERENCE_DESIGN;NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required;NVIDIA_SP-10900-001_v1.2_Table_2-13;Controlled_M2_Review_Required,Engineering_Assumption,Exact pin uses a public-source baseline; governing controlled specification or footprint cross-probe review remains open
