Component,Symbol_Name,Pin_Number,Pin_Name,Pin_Type,Voltage_Domain,Source_Document,Human_Review_Status,Notes
J1,PCIE_EDGE_X4_REVA_PUB,A1,PRSNT_A,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A2,P12V,POWER_OUT,12V,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A3,P12V,POWER_OUT,12V,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A4,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A5,NC_A5,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A6,NC_A6,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A7,NC_A7,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A8,NC_A8,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A9,P3V3_SLOT_UNUSED,POWER_OUT,3V3,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A10,P3V3_SLOT_UNUSED,POWER_OUT,3V3,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A11,PERST_N,OUTPUT,PCIE_SIDEBAND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A12,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A13,PCIE_REFCLK_P,OUTPUT,PCIE_CLOCK,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A14,PCIE_REFCLK_N,OUTPUT,PCIE_CLOCK,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A15,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A16,PCIE_RX0_P,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A17,PCIE_RX0_N,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A18,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A19,RSVD_A19,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A20,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A21,PCIE_RX1_P,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A22,PCIE_RX1_N,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A23,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A24,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A25,PCIE_RX2_P,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A26,PCIE_RX2_N,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A27,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A28,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A29,PCIE_RX3_P,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A30,PCIE_RX3_N,INPUT,PCIE_HS,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A31,GND,POWER,GND,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
J1,PCIE_EDGE_X4_REVA_PUB,A32,RSVD_A32,PASSIVE,UNDEFINED,NVIDIA_SP-10900-001_v1.2_Table_2-8;Controlled_CEM_Review_Required,Engineering_Assumption,Public NVIDIA secondary-source pin; governing CEM review remains open
