Gate_ID,Input,Required_For,Current_State,Status,Owner,Acceptance_Evidence,Notes
G0-01,Immutable Stage 1 board and evidence hashes,All Stage 2 work,Recorded,Confirmed_Official,Project,stage2/baseline_manifest.csv,Do not overwrite Stage 1
G1-01,PCIe CEM 3.0 controlled specification,J1 pins power and mechanical freeze,Access unavailable; exception recorded,Pending_Human_Verification,Authorized_Human_Reviewer,Local authorized review record with revision pages and discrepancy disposition,Project owner has no authorized company membership; see stage2/CONTROLLED_SPEC_ACCESS_EXCEPTION.md; no guessed J1 physical pins
G1-02,M.2 controlled specification,J2 pins module envelope and timing freeze,Access unavailable; exception recorded,Pending_Human_Verification,Authorized_Human_Reviewer,Local authorized review record with revision pages and discrepancy disposition,Project owner has no authorized company membership; see stage2/CONTROLLED_SPEC_ACCESS_EXCEPTION.md; connector drawing does not replace the logical pin table
G1-03,Second-source public design review,Lane and sideband cross-check,Available,Engineering_Assumption,Project,NVIDIA and Renesas local evidence with reviewed excerpts,Does not replace governing specifications
G2-01,MDT420M01501 exact drawing,J2 footprint and dimensional model,Rev A released drawing preserved locally,Confirmed_Official,Project,evidence/official_sources/Amphenol_MDT420M01501_Controlled_Drawing_RevA.pdf plus SHA-256 in stage2/baseline_manifest.csv,Four-page CMDT420X01501 Rev A drawing visually reviewed; footprint overlay and 1-to-1 print remain implementation checks
G2-02,MDT420M01501 exact STEP source,J2 exact 3D model availability,Official ZIP and extracted STEP preserved locally,Confirmed_Official,Project,evidence/official_sources/smdt420m01501_c3d.zip and pcb/3d_models/amphenol_mdt420m01501_vendor-c3d-rev-unstated_2026-07-24.stp plus hashes in stage2/baseline_manifest.csv,Official STEP is AP214 and millimetres with embedded product MDT420M_ASSY; vendor model revision is not stated
G2-03,MDT420M01501 Allegro mapping transform,J2 exact 3D placement and collision review,Isolated native assignment and zero-transform readback passed; footprint datum alignment not approved,Pending_Human_Verification,Project,evidence/stage2/3d/mdt420m01501_step_assignment.log plus confirmed footprint alignment and collision evidence,Zero transform proves assignment defaults only; do not promote collision result until exact footprint mapping is verified
G3-01,TPS25947 vendor transient model,eFuse simulation,Available,Confirmed_Official,Project,Model manifest and smoke-test logs,Model limitations remain binding
G3-02,TPS543620 vendor transient model,Buck simulation,Available,Confirmed_Official,Project,Model manifest and smoke-test logs,Convergence must be demonstrated per profile
G4-01,JLCPCB production six-layer stack-up,Final impedance geometry,JLC06161H-3313 candidate identified; calculator result unavailable,Pending_Fabricator_Confirmation,User,Quote or order stack-up plus calculator record,Official 6-layer 1.6 mm candidate is identified but the current calculator UI failed before producing geometry; placement can proceed without geometry freeze
G5-01,WD_BLACK SN750 WDS100T3X0C physical sample,Physical fit and bring-up,Deferred to Stage 3,Planned,User,Purchase record label photo and bench log,Not required for Stage 2 digital review
