Reference,Component,Manufacturer_Part_Number,Footprint_Name,Package,Land_Pattern_Source,Validation_Method,Assignment_Status,Human_Review_Status,Notes
J1,PCIe Gen3 x4 card edge,BOARD_DEFINED_EDGE_X4,PCIE_CEM_X4_EDGE_REVA,Gold finger PCB feature,PCI-SIG CEM 3.0 controlled drawing,1to1 print plus edge datum review plus fab capability review,Engineering_Assumption,Pending_Human_Verification,Native PSM and board placement are complete; CEM mechanical dimensions and bevel remain access-gated
J2,M.2 M-Key connector,MDT420M01501,AMPHENOL_MDT420M01501,67-position M.2 connector,Amphenol official drawing,Pad audit plus 1to1 print plus STEP placement plus sample fit,Engineering_Assumption,Pending_Human_Verification,Native PSM pad numbering and official STEP assignment are complete; sample fit remains Stage 3
U1,eFuse,TPS259472LRPWR,TI_RPW10_2P0X2P0,VQFN-HR RPW 10,TI Rev C package drawing,Pin-one plus pad dimensions plus exposed-pad stencil audit,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and device pin-to-pad audit passes; final stencil review remains pending
U2,6 A synchronous buck,TPS543620RPYR,TI_RPY14_2P5X3P0,VQFN-HR RPY 14,TI Rev C package drawing,Pin audit plus courtyard plus paste plus thermal review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and device pin-to-pad audit passes; final thermal review remains pending
U3,power monitor,INA238AIDGSR,TI_DGS10_VSSOP,VSSOP DGS 10,TI Rev B package drawing,Pin audit plus toe heel side plus pin-one review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and device pin-to-pad audit passes
U4,temperature sensor,TMP1075DR,TI_D8_SOIC,SOIC D 8,TI Rev F package drawing,Pin audit plus toe heel side plus pin-one review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and device pin-to-pad audit passes
U5,header sense reverse-current blocker,ADP198ACPZ-R7,ADI_CP_8_10,LFCSP CP-8-10,ADI Rev G package drawing,Pin audit plus exposed-pad plus courtyard plus reverse-drive review,Engineering_Assumption,Pending_Human_Verification,Corrected 1-8 plus EP PSM and device pin-to-pad audit pass; system protection test remains pending
RSH1,5 mOhm four-terminal shunt,WSK25125L000FEA,VISHAY_WSK2512_4T,WSK2512 four-terminal,Vishay official drawing,Four-terminal pin map plus Kelvin print review plus current path audit,Engineering_Assumption,Pending_Human_Verification,Corrected E1/E2/I1/I2 PSM and device pin-to-pad audit pass; pulse behavior remains pending
L1,power inductor,XGL5050-152MEC,COILCRAFT_XGL5050,XGL5050 molded SMD,Coilcraft official product drawing,Pad plus pin-one convention plus height plus thermal courtyard review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and device pin-to-pad audit passes; exact 3D body remains pending
FB1,telemetry ferrite bead,BLM21PG221SN1D,MURATA_BLM21_0805,0805 metric 2012,Murata official product drawing,Pad plus current rating plus impedance and polarity-neutral symbol review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and device pin-to-pad audit passes; part remains outside NVMe load-current path
J3,I2C debug header,TSW-104-08-L-S-RA,HDR_1X4_2P54_RA,1x4 2.54 mm through-hole right-angle,Samtec selected manufacturer drawing,Pin-one plus drill plus mating clearance review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and device pin-to-pad audit passes; procurement option review remains pending
C1;C6;C7;C9;C15;C16;C17,0.1 uF bypass capacitors,GRM155R71H104KE14D,C_0402_1005M,0402 metric 1005,Murata official product drawing,Pad plus voltage plus placement and tombstone review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and all listed references are placed
C2;C3,eFuse programming capacitors,TBD_AFTER_CEM_REVIEW,C_0603_1608M_RESERVED,0603 metric 1608,Selected manufacturer drawing after values are frozen,Pad plus voltage plus value and dielectric review,Pending_Human_Verification,Pending_Human_Verification,Native reserved-pad PSM compiles; exact values and MPNs remain Power Design Freeze blockers
C4;C5,buck 10 uF input capacitors,C3225X7R1E106K250AC,C_1210_3225M,1210 metric 3225,TDK official product drawing and land-pattern data,Pad plus 12 V DC-bias plus ripple and hot-loop placement review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and references are placed; effective capacitance at 12 V remains pending
C8;C18,2.2 uF BP5 and 1 uF sense capacitors,MULTIPLE_SEE_BOM,C_0603_1608M,0603 metric 1608,Murata and TDK official product drawings,Pad plus value plus voltage and local placement review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and both references are placed
C10,33 pF feed-forward capacitor,GRM1555C1H330JA01D,C_0402_1005M,0402 metric 1005,Murata official product drawing,Pad plus C0G value and loop-review audit,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and reference is placed; stuffing decision remains simulation-gated
C11;C12;C13;C14,22 uF buck output capacitors,C3225X7R1C226M250AC,C_1210_3225M,1210 metric 3225,TDK official product drawing and land-pattern data,Pad plus 3.3 V DC-bias plus placement and cracking-risk review,Engineering_Assumption,Pending_Human_Verification,Native PSM compiles and references are placed; effective capacitance and transient pass remain pending
